ncbi_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name,gene_id,uniprot_id
BAA10018.2,295.7454055183895,1.6180630048701092,0.15582764651110145,3.6755563550167155e-26,1.0285629477345164e-24,sll0944,sll0944,P77971
BAA10019.1,345.7387445320371,-0.19005881296295196,0.12031520658285888,0.10260659654329052,0.1741050806871482,slr0320,slr0320,Q55524
BAA10020.1,1286.4650570473764,0.33667543443355485,0.09385756431477672,2.5394687198396736e-4,9.065798824942045e-4,sigB,sll0306,Q55525
BAA10021.1,351.0514874412508,0.1135360583505989,0.141344536463196,0.40296630275109385,0.5173115318336278,Era,slr0321,Q55526
BAA10022.1,2939.657001757151,-0.4574266116556093,0.08189944453667898,1.3992426683715748e-8,1.013647611534314e-7,slr0322,slr0322,Q55527
BAA10023.1,904.9001543133469,-0.21268742484548211,0.10742393895667167,0.04228651929408432,0.08276041847178375,ams1,slr0323,Q55528
BAA10024.1,250.74366745055696,0.19846955024973434,0.13097241266574194,0.11618865664335369,0.19180525145215857,slr0324,slr0324,Q55529
BAA10025.1,81.2160655387331,0.6351833987461435,0.2063249514133994,8.071372012151684e-4,0.0026029424611678756,slr0325,slr0325,Q55530
BAA10026.1,244.1356965204448,0.11857044635348452,0.1285420526317441,0.3403139604905066,0.455414362862344,sll0301,sll0301,Q55531
BAA10027.1,158.2145071301633,-0.009622225727499812,0.14764067530307712,0.9443070936955911,0.9643159550099178,ribC,sll0300,Q55532
BAA10028.1,346.0155012294378,-0.08219934495549899,0.12269540300213802,0.48827289809006474,0.5976391380502732,slr0326,slr0326,Q55533
BAA10029.1,983.7476859933196,-0.6983167428985263,0.09796176642602566,3.6048868521752885e-13,3.8727422219963626e-12,hitB,slr0327,Q55534
BAA10030.1,98.41134763295847,-0.3440768131910613,0.1901787153559886,0.04916536015046611,0.09378988439918494,slr0328,slr0328,Q55535
BAA10031.1,135.26894698778835,-0.13088977728904916,0.16546657836397638,0.4001392060218132,0.5140625860406116,xylR,slr0329,Q55536
BAA10032.1,720.969971245776,-0.29193670063185967,0.10587453047361634,0.004681810382913684,0.012373101316611184,sll0298,sll0298,Q55537
BAA10033.1,786.6509656461334,-0.05109849086881915,0.10193548889085123,0.607866535189824,0.7068689266450032,sll0297,sll0297,Q55538
BAA10034.1,498.27288958730924,-0.12492850872092341,0.11967950284468604,0.28137975772827567,0.39133777928541746,sll0296,sll0296,Q55539
BAA10035.1,292.47001495142047,-0.3664088043791896,0.13823658874455402,0.005688012743160912,0.014631137300791968,ssl0564,ssl0564,Q55540
BAA10036.1,14533.658421877863,-0.8966357852425969,0.0909053215895711,1.4660892809923626e-23,3.4143153053983214e-22,psaC,ssl0563,P32422
BAA10037.1,5127.602342622815,-0.12785041620693435,0.12288150903552478,0.2800863295264424,0.38969509360735977,ndhD1,slr0331,P32421
BAA10038.1,383.36874928505813,-0.008234950591206752,0.1206021286648019,0.9430307078588708,0.9634442846223682,slr0333,slr0333,Q55541
BAA10039.1,345.195130107051,0.032843115663145656,0.1230363288545266,0.7838268418403925,0.8471829472337132,slr0334,slr0334,Q55542
BAA10040.1,1186.8523123600085,0.17110596719001736,0.09955773894689668,0.08155066864797449,0.1439373449687037,ssr0536,ssr0536,P74784
BAA10041.1,78.73005246092342,0.3914438493102638,0.2120672044852652,0.041623145025846055,0.08155410120817945,sll0295,sll0295,Q55543
BAA10042.1,34093.692618755435,-0.7677637769154959,0.07850052329167848,4.4599500280998795e-23,9.794953542725686e-22,apcE,slr0335,Q55544
BAA10043.1,618.5286246530956,0.7923403955676347,0.11275177788823444,6.521942743685275e-13,6.837202815887584e-12,slr0337,slr0337,Q55545
BAA10044.1,369.4668600882273,0.431117914031598,0.11818243883967555,1.6782946428930897e-4,6.215242701002157e-4,sll0294,sll0294,Q55546
BAA10045.1,333.6658134641377,0.24645924989025986,0.12330875705475947,0.03885741476537588,0.07674173547857388,sll0293,sll0293,Q55547
BAA10046.1,1004.7376043691531,-0.26477560432498876,0.1120787043013357,0.014977046066256532,0.033703210019396995,slr0338,slr0338,Q55548
BAA10047.1,864.9506251656519,-0.3701642784979652,0.10701206221538842,3.6116811275674235e-4,0.0012582864972549156,slr0168,slr0168,Q55549
BAA10048.1,765.1058681705316,0.12271354560555096,0.09698169492335246,0.19713896146071533,0.29613514989986245,slr0169,slr0169,Q55550
BAA10049.1,689.8938246671121,-0.1619625403897032,0.09867812075061523,0.09364132941312436,0.16133833816461843,ycf37,slr0171,Q55551
BAA10050.1,808.3003964875687,-0.2143417187359725,0.10660884540296901,0.039082891205228655,0.07714313565537169,guaB,slr0172,Q55552
BAA10051.1,328.3649660546228,0.3897235702480927,0.1303319392350645,0.0018991766600113648,0.005524009229035571,sll0177,sll0177,Q55553
BAA10052.1,375.71081230022855,0.5247133924362122,0.12313322363960479,1.0648363738937794e-5,4.9597076743777375e-5,sll0176,sll0176,Q55554
BAA10053.1,179.12465068949518,0.6358234311546029,0.1556028929043936,1.7406231549931615e-5,7.813664098093494e-5,ssl0312,ssl0312,P74785
BAA10054.1,327.1625841242718,0.024524455390397264,0.1236965595016609,0.838842633937859,0.889060458083192,sll0175,sll0175,Q55555
BAA10055.1,317.17227467453347,0.034852725935696105,0.12770571177578485,0.7785210838446904,0.8442088002940863,sll0174,sll0174,Q55556
BAA10056.1,616.2436036660685,0.004488226422709128,0.10683122726465398,0.9667306742538999,0.9780045013589016,sll0173,sll0173,Q55557
BAA10057.1,434.8762866740161,0.09655073615015065,0.11535972737226459,0.3901750719123307,0.5042486031790643,sll0172,sll0172,Q55558
BAA10058.1,237.37235731053903,0.48955307213649607,0.13478619169916226,1.5834892132204404e-4,5.895608980552498e-4,gcvT,sll0171,P54261
BAA10059.1,14552.660457166865,0.3201501525211062,0.10588184351585829,0.001938921296419982,0.005616074205824155,dnaK2,sll0170,P22358
BAA10060.1,3188.7175289531783,0.13251474717767434,0.08201473531717346,0.10223508118765762,0.17363771173811987,sll0169,sll0169,Q55559
BAA10061.1,239.94721157500757,-0.1048444900815734,0.13672709748717243,0.4240481975367777,0.5374168171850323,sll0168,sll0168,Q55560
BAA10062.1,265.59873984866056,-0.04991567448694395,0.12675543798894934,0.6831340671719075,0.7671440819050224,sll0167,sll0167,Q55561
BAA10063.1,647.6221834565787,0.0930563866514813,0.10118080223338823,0.34810542304148756,0.4629842153905565,hemD,sll0166,Q55562
BAA10064.1,1898.947762353997,-0.31720914051829585,0.0852545640137168,1.555193138142006e-4,5.808956070347428e-4,sll0163,sll0163,Q55563
BAA10065.1,139.80158709868272,0.2501142083585699,0.15629615622930104,0.09123216664045325,0.15781942402198817,sll0162,sll0162,Q55564
BAA10066.1,204.21493759670614,-1.391702924012804,0.1830937551656947,4.00550004039183e-15,5.035900413101322e-14,slr0179,slr0179,Q55565
BAA10067.1,22.48870268366917,-0.37683163706954026,0.344390931116162,0.15350530654806768,0.2418304753346502,slr0180,slr0180,Q55566
BAA10070.1,254.23885119962569,0.4185113471628105,0.13636364470763182,0.0013822748635889644,0.004181773126986667,slr0181,slr0181,Q55569
BAA10071.1,341.2067201369777,-0.005265396633928649,0.12149552614440927,0.9634130003454064,0.9763373996272894,ssl0294,ssl0294,P74786
BAA10072.1,462.3477898973941,-0.07345196038664066,0.11613723555105918,0.5144390658267527,0.6230727952596271,sll0160,sll0160,Q55570
BAA10073.1,3394.682333548908,-0.18177683505635572,0.09142654550297481,0.04282166082808529,0.08356451135694117,glgB,sll0158,P52981
BAA10074.1,214.10244578342875,0.06220189970303775,0.15819968708966325,0.6800165014196715,0.7646329422962607,sll0157,sll0157,Q55571
BAA10075.1,490.5170912027755,0.20459318368335888,0.12036096773145909,0.07961611238380037,0.1412412627667624,sll0156,sll0156,Q55572
BAA10076.1,117.72787502218179,0.3251423860097584,0.17536412739565768,0.047649000146532214,0.09165301025968225,slr0184,slr0184,Q55573
